Person_Age,Sex,Person_Sexual_Orientation,Person_Ethinicity,Partners_Age_Difference,Partners_Distance,Partners_Hobby,Partners_Education,Partners_Tourist_Destination,Partners_Movie,Partners_Food,Partners_Drinks,Partners_Sexual_Orientation,Partners_Ethnicity,Compatibility
18,Male,Heterosexual,Non-hispanic whites,5,5,Cycling,High School,Beaches,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
19,Male,Heterosexual,Non-hispanic whites,5,10,Gardening,High School,Beaches,Science Fiction,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
20,Male,Heterosexual,Non-hispanic whites,10,15,fishing,Under Graduate,Mountains,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
18,Female,Heterosexual,Non-hispanic whites,5,5,Cycling,Post Graduate,Ranches,Romance,Vegan,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
18,Male,Heterosexual,Non-hispanic whites,5,15,Swimming,Graduate,Adventure,Horror,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
22,Female,Heterosexual,Non-hispanic whites,5,15,Swimming,Under Graduate,Beaches,Romance,Non-vegetarian,Non Alcoholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
24,Male,Heterosexual,Hispanic and Latino,5,15,Reading,Under Graduate,Heritage,Romance,Vegan,Alcholic,Partner_Heterosexual,Partner_Hispanic and Latino,1
25,Male,Heterosexual,Hispanic and Latino,5,15,Cycling,Uneducated,Beaches,Science Fiction,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Hispanic and Latino,1
28,Female,Heterosexual,Non-hispanic whites,5,10,Reading,Uneducated,Beaches,Horror,Vegan,Non Alcoholic,Partner_Heterosexual,Partner_Hispanic and Latino,0
22,Male,Heterosexual,Hispanic and Latino,5,10,Reading,Uneducated,Heritage,Horror,Vegan,Alcholic,Partner_Heterosexual,Partner_Hispanic and Latino,0
24,Female,Heterosexual,Hispanic and Latino,10,5,Cooking,High School,Beaches,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Hispanic and Latino,1
21,Male,Heterosexual,Non-hispanic whites,5,5,Reading,High School,Ranches,Horror,Vegan,Non Alcoholic,Partner_Heterosexual,Partner_Non-hispanic whites,0
21,Female,Heterosexual,Hispanic and Latino,5,10,Reading,High School,Beaches,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Hispanic and Latino,1
22,Male,Heterosexual,Hispanic and Latino,5,5,cooking,Graduate,Mountains,Science Fiction,Non-vegetarian,Non Alcoholic,Partner_Heterosexual,Partner_Hispanic and Latino,1
23,Male,Heterosexual,Non-hispanic whites,5,5,Cycling,Graduate,Mountains,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,1
24,Transgender,Heterosexual,Non-hispanic whites,5,5,Swimming,Graduate,Beaches,Crime,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_Non-hispanic whites,0
21,Male,Heterosexual,African-Americans,5,5,Athletics,Graduate,Beaches,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_African-Americans,1
22,Female,Heterosexual,African-Americans,5,5,Athletics,Graduate,Beaches,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_African-Americans,1
18,Male,Heterosexual,African-Americans,5,15,Cycling,Post Graduate,Heritage,Romance,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_African-Americans,1
22,Male,Heterosexual,Non-hispanic whites,5,10,Reading,Graduate,Heritage,Romance,Vegan,Non Alcoholic,Partner_Heterosexual,Partner_African-Americans,1
19,Transgender,Heterosexual,Hispanic and Latino,5,10,Swimming,High School,Adventure,Science Fiction,Non-vegetarian,Alcholic,Partner_Heterosexual,Partner_African-Americans,1
